id,doi,title,year,field,subfield,topic,container_title,publisher,authors,type,community,in_degree,out_degree,degree,eigenvector,pagerank,betweenness,PC1_score
W3172024823,https://doi.org/10.1109/led.2021.3089945,High-k Oxide Field-Plated Vertical (001) β-Ga<sub>2</sub>O<sub>3</sub>Schottky Barrier Diode With Baliga’s Figure of Merit Over 1 GW/cm<sup>2</sup>,2021,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,IEEE Electron Device Letters,Institute of Electrical and Electronics Engineers,Saurav Roy; Arkka Bhattacharyya; Praneeth Ranga; Heather Splawn; Jacob H. Leach; Sriram Krishnamoorthy,article,1,28,3,31,3.45e-10,0.001287577,9.98e-05,0.9691595364130283
W2913129641,https://doi.org/10.1088/1674-1056/28/1/017105,Review of gallium oxide based field-effect transistors and Schottky barrier diodes,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Chinese Physics B,IOP Publishing,Zeng Liu; Peigang Li; Yusong Zhi; Xiaolong Wang; Xulong Chu; Weihua Tang,article,2,28,3,31,0.020778767,0.002517074,0.00014846,1.5124239290859145
W2951197788,https://doi.org/10.1109/tcpmt.2019.2923356,Device-Level Thermal Management of Gallium Oxide Field-Effect Transistors,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,IEEE Transactions on Components Packaging and Manufacturing Technology,Institute of Electrical and Electronics Engineers,Bikramjit Chatterjee; Ke Zeng; Christopher Nordquist; Uttam Singisetti; Sukwon Choi,article,5,28,3,31,0.005901326,0.001902896,2.14e-05,1.0885409392511318
W3008025124,https://doi.org/10.1109/led.2020.2974515,Lateral β-Ga<sub>2</sub>O<sub>3</sub> MOSFETs With High Power Figure of Merit of 277 MW/cm<sup>2</sup>,2020,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,IEEE Electron Device Letters,Institute of Electrical and Electronics Engineers,Yuanjie Lv; Hongyu Liu; Xingye Zhou; Yuangang Wang; Xubo Song; Yuncong Cai; Qinglong Yan; Chenlu Wang; Shixiong Liang; Jincheng Zhang; Zhihong Feng; Hong Zhou; Shujun Cai; Yue Hao,article,1,28,3,31,0.000781524,0.001763246,5.28e-05,1.0022593388873815
W3164414943,https://doi.org/10.1109/tpel.2021.3082640,1.37 kV/12 A NiO/β-Ga<sub>2</sub>O<sub>3</sub>Heterojunction Diode With Nanosecond Reverse Recovery and Rugged Surge-Current Capability,2021,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,IEEE Transactions on Power Electronics,Institute of Electrical and Electronics Engineers,Hehe Gong; Feng Zhou; Weizong Xu; Xinxin Yu; Yang Xu; Yi Yang; Fangfang Ren; Shulin Gu; Youdou Zheng; Rong Zhang; Hai Lu; Jiandong Ye,article,1,28,7,35,3.91e-05,0.000871686,0.001070068,1.6825435538156093
W2913533248,https://doi.org/10.1021/jacs.8b12212,van der Waals Stacking Induced Transition from Schottky to Ohmic Contacts: 2D Metals on Multilayer InSe,2019,Materials Science,Materials Chemistry,2D Materials and Applications,Journal of the American Chemical Society,American Chemical Society,Tao Shen; Ji‐Chang Ren; Xinyi Liu; Shuang Li; Wei Liu,article,9,28,2,30,8.23e-10,0.002139177,3.58e-06,0.9727156473278226
W2978319100,https://doi.org/10.1002/adfm.201906040,3D Solar‐Blind Ga<sub>2</sub>O<sub>3</sub> Photodetector Array Realized Via Origami Method,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Advanced Functional Materials,Wiley,Yancheng Chen; Ying‐Jie Lu; Meiyong Liao; Yongzhi Tian; Qian Liu; Chaojun Gao; Xun Yang; Chong‐Xin Shan,article,2,27,2,29,0.000703372,0.002018616,2.44e-05,0.9478046771653171
W3015797821,https://doi.org/10.1038/s41598-020-62948-2,Chemical manipulation of hydrogen induced high p-type and n-type conductivity in Ga2O3,2020,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Scientific Reports,Nature Portfolio,Minhazul Islam; Maciej Oskar Liedke; David Winarski; Maik Butterling; A. Wagner; Peter Hosemann; Yongqiang Wang; Blas P. Uberuaga; F. A. Selim,article,4,27,2,29,0.00140713,0.001489734,4.86e-06,0.8899801263918162
W2951853018,https://doi.org/10.1063/1.5100256,"Vertical geometry 33.2 A, 4.8 MW cm2 Ga2O3 field-plated Schottky rectifier arrays",2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Applied Physics Letters,American Institute of Physics,Jiancheng Yang; Minghan Xian; Patrick H. Carey; Chaker Fares; Jessica Partain; F. Ren; Marko J. Tadjer; Elaf Anber; Dan Foley; Andrew C. Lang; James L. Hart; James E. Nathaniel; Mitra L. Taheri; S. J. Pearton; Akito Kuramata,article,1,27,6,33,0.004142463,0.00139599,0.000227252,1.1709142050437742
W2963355303,https://doi.org/10.1063/1.5089559,Thermal conductance across β-Ga2O3-diamond van der Waals heterogeneous interfaces,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,APL Materials,American Institute of Physics,Zhe Cheng; Luke Yates; Jingjing Shi; Marko J. Tadjer; Karl D. Hobart; Samuel Graham,article,5,26,1,27,0.01848988,0.003324803,0.0,1.3336376308267917
W3000075004,https://doi.org/10.1063/1.5135772,"Substrate-orientation dependence of β-Ga2O3 (100), (010), (001), and (2¯01) homoepitaxy by indium-mediated metal-exchange catalyzed molecular beam epitaxy (MEXCAT-MBE)",2020,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,APL Materials,American Institute of Physics,Piero Mazzolini; Andreas Falkenstein; Charlotte Wouters; Robert Schewski; T. Markurt; Zbigniew Galazka; Manfred Martin; M. Albrecht; Oliver Bierwagen,article,1,26,2,28,0.000156305,0.001603353,1.06e-05,0.844497755084444
W2988766683,https://doi.org/10.1088/1361-6641/ab55fe,Lateral β-Ga<sub>2</sub>O<sub>3</sub> field effect transistors,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Semiconductor Science and Technology,IOP Publishing,Kelson D. Chabak; Kevin Leedy; Andrew J. Green; Shin Mou; Adam T. Neal; Thaddeus J. Asel; Eric R. Heller; Nolan S. Hendricks; Kyle J. Liddy; Antonio Crespo; Nicholas C. Miller; Miles Lindquist; Neil Moser; Robert Fitch; Dennis E. Walker; Donald L. Dorsey; Gregg H. Jessen,article,1,26,3,29,0.000547075,0.001358615,3.13e-05,0.8614355933419878
W3126641858,https://doi.org/10.1088/1361-6463/abe158,Progress in state-of-the-art technologies of Ga<sub>2</sub>O<sub>3</sub>devices,2021,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Journal of Physics D Applied Physics,Institute of Physics,Chenlu Wang; Jincheng Zhang; Shengrui Xu; Chunfu Zhang; Qian Feng; Yachao Zhang; Jing Ning; Shenglei Zhao; Hong Zhou; Yue Hao,article,1,25,7,32,5.36e-11,0.001143358,0.000170334,0.9731555633112153
W3120940837,https://doi.org/10.1109/tpel.2021.3049966,Packaged Ga<sub>2</sub>O<sub>3</sub> Schottky Rectifiers With Over 60-A Surge Current Capability,2021,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,IEEE Transactions on Power Electronics,Institute of Electrical and Electronics Engineers,Ming Xiao; Boyan Wang; Jingcun Liu; Ruizhe Zhang; Zichen Zhang; Chao Ding; Shengchang Lu; Kohei Sasaki; Guo‐Quan Lu; Cyril Buttay; Yuhao Zhang,article,1,23,9,32,0.000195381,0.000745969,0.000276404,0.9729297523118547
W3087884129,https://doi.org/10.1088/1361-6463/abbb45,Review of polymorphous Ga<sub>2</sub>O<sub>3</sub>materials and their solar-blind photodetector applications,2020,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Journal of Physics D Applied Physics,Institute of Physics,Xiaohu Hou; Yanni Zou; Mengfan Ding; Yuan Qin; Zhongfang Zhang; Xiaolan Ma; Pengju Tan; Shunjie Yu; Xuanzhe Zhou; Xiaolong Zhao; Guangwei Xu; Haiding Sun; Shibing Long,article,2,22,7,29,0.000273533,0.001162066,0.000707563,1.2338388209243252
W2971349884,https://doi.org/10.1021/acsami.9b10626,Deep-Ultraviolet Photodetection Using Single-Crystalline β-Ga<sub>2</sub>O<sub>3</sub>/NiO Heterojunctions,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,ACS Applied Materials & Interfaces,American Chemical Society,Kuang‐Hui Li; Nasir Alfaraj; Chun Hong Kang; Laurentiu Braic; Mohamed Nejib Hedhili; Zaibing Guo; Tien Khee Ng; Boon S. Ooi,article,2,22,5,27,0.000703454,0.002019383,0.001137557,1.5869867351507572
W2959861337,https://doi.org/10.1063/1.5108790,Hydrogen plasma treatment of <b> <i>β</i> </b>-Ga2O3: Changes in electrical properties and deep trap spectra,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Applied Physics Letters,American Institute of Physics,A. Y. Polyakov; In‐Hwan Lee; N. B. Smirnov; E. B. Yakimov; Ivan Shchemerov; А. В. Черных; А. I. Kochkova; A.A. Vasil'ev; F. Ren; Patrick H. Carey; S. J. Pearton,article,4,22,6,28,0.003791933,0.001831617,0.000410076,1.1426589870769
W3036516792,https://doi.org/10.1109/ted.2020.3001249,Band Alignment and Interface Recombination in NiO/<i>β</i>-Ga<sub>2</sub>O<sub>3</sub> Type-II p-n Heterojunctions,2020,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,IEEE Transactions on Electron Devices,Institute of Electrical and Electronics Engineers,Hehe Gong; Xuanhu Chen; Yang Xu; Yanting Chen; Fangfang Ren; Bin Liu; Shulin Gu; Rong Zhang; Jiandong Ye,article,1,21,4,25,0.000117229,0.000984939,0.000286598,0.8163642425620065
W3163500622,https://doi.org/10.1063/5.0050919,β-Ga2O3 vertical heterojunction barrier Schottky diodes terminated with p-NiO field limiting rings,2021,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Applied Physics Letters,American Institute of Physics,Hehe Gong; Xinxin Yu; Yang Xu; Xuanhu Chen; Yue Kuang; Yuanjie Lv; Yi Yang; Fangfang Ren; Zhihong Feng; Shulin Gu; Yi Zheng; R. Zhang; Jiandong Ye,article,1,21,5,26,7.82e-05,0.000898674,8.94e-05,0.6922350848185524
W3085805641,https://doi.org/10.1021/acsami.0c11672,Thermal Transport across Ion-Cut Monocrystalline β-Ga<sub>2</sub>O<sub>3</sub> Thin Films and Bonded β-Ga<sub>2</sub>O<sub>3</sub>–SiC Interfaces,2020,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,ACS Applied Materials & Interfaces,American Chemical Society,Zhe Cheng; Fengwen Mu; Tiangui You; Wenhui Xu; Jingjing Shi; Michael E. Liao; Yekan Wang; Kenny Huynh; Tadatomo Suga; Mark S. Goorsky; Xin Ou; Samuel Graham,article,5,21,7,28,4.85e-11,0.001074576,0.000124157,0.7777736832150425
W3008128490,https://doi.org/10.1063/1.5139402,Ti- and Fe-related charge transition levels in β−Ga2O3,2020,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Applied Physics Letters,American Institute of Physics,Christian Zimmermann; Ymir Kalmann Frodason; Abraham Willem Barnard; Joel B. Varley; K. Irmscher; Zbigniew Galazka; Antti Karjalainen; W.E. Meyer; F.D. Auret; Lasse Vines,article,4,21,2,23,0.000918366,0.00106091,7.88e-06,0.6027668585677973
W2950375754,https://doi.org/10.1063/1.5109025,Defects at the surface of β-Ga2O3 produced by Ar plasma exposure,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,APL Materials,American Institute of Physics,A. Y. Polyakov; In‐Hwan Lee; N. B. Smirnov; E. B. Yakimov; Ivan Shchemerov; А. В. Черных; А. I. Kochkova; A.A. Vasil'ev; Patrick H. Carey; F. Ren; David J. Smith; S. J. Pearton,article,4,21,5,26,0.002482653,0.001142409,6.66e-05,0.7464337156050205
W2898201003,https://doi.org/10.1109/jeds.2018.2877495,Dynamic Switching Characteristics of 1 A Forward Current $\boldsymbol{\beta}$ -Ga<sub>2</sub>O<sub>3</sub> Rectifiers,2018,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,IEEE Journal of the Electron Devices Society,Institute of Electrical and Electronics Engineers,Jiancheng Yang; F. Ren; Yen‐Ting Chen; Yu‐Te Liao; Chin‐Wei Chang; Jenshan Lin; Marko J. Tadjer; S. J. Pearton; Akito Kuramata,article,1,21,2,23,0.013293087,0.001440492,2.25e-06,0.8643446970730903
W2978247624,https://doi.org/10.1063/1.5120578,Epitaxial stabilization of single phase <i>κ</i>-(In<i>x</i>Ga1−<i>x</i>)2O3 thin films up to <i>x</i> = 0.28 on c-sapphire and <i>κ</i>-Ga2O3(001) templates by tin-assisted VCCS-PLD,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,APL Materials,American Institute of Physics,Max Kneiß; Anna Hassa; Daniel Splith; Chris Sturm; Holger von Wenckstern; Michael Lorenz; Marius Grundmann,article,3,21,1,22,0.001290132,0.001857525,0.0,0.6680973461078379
W2900305142,https://doi.org/10.1063/1.5045601,High resistivity halide vapor phase homoepitaxial β-Ga2O3 films co-doped by silicon and nitrogen,2018,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Applied Physics Letters,American Institute of Physics,Marko J. Tadjer; Andrew D. Koehler; Jaime A. Freitas; James C. Gallagher; Matty C. Specht; E. R. Glaser; Karl D. Hobart; Travis J. Anderson; Fritz J. Kub; Quang Tu Thieu; Kohei Sasaki; Daiki Wakimoto; Ken Goto; Shinya Watanabe; Akito Kuramata,article,4,21,2,23,0.077653829,0.005873094,5.68e-05,2.5481058307752615
W3138188852,https://doi.org/10.1063/5.0044130,"β-Ga2O3 hetero-junction barrier Schottky diode with reverse leakage current modulation and BV2/Ron,sp value of 0.93 GW/cm2",2021,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Applied Physics Letters,American Institute of Physics,Qinglong Yan; Hehe Gong; Jincheng Zhang; Jiandong Ye; Hong Zhou; Zhihong Liu; Shengrui Xu; Chenlu Wang; Zhuangzhuang Hu; Qian Feng; Jing Ning; Chunfu Zhang; Peijun Ma; Rong Zhang; Yue Hao,article,1,20,4,24,3.91e-05,0.000863814,4.85e-05,0.5985248088493174
W2941420794,https://doi.org/10.1016/j.pmatsci.2019.04.006,Particle-reinforced metal matrix nanocomposites fabricated by selective laser melting: A state of the art review,2019,Engineering,Automotive Engineering,Additive Manufacturing and 3D Printing Technologies,Progress in Materials Science,Elsevier BV,Wenhui Yu; Swee Leong Sing; Chee Kai Chua; C.N. Kuo; Xuelei Tian,article,0,20,4,24,0.000214919,0.002808628,8.38e-05,0.8360650485429152
